"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Abacus","PHB'14","150","none","Adventuring Gear","","","","","2 lb.","2 GP",""
"Acid","PHB'24","222","none","Adventuring Gear","","","","","1 lb.","25 GP","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Acid (vial)","PHB'14","148","none","Adventuring Gear","","","","","1 lb.","25 GP","As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
"Adamantine Ammunition","XGE","78","unknown","Ammunition, Generic Variant","","","","","","","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit.The adamantine version of ten pieces of ammunition costs 500 gp more than the normal version, whether the ammunition is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Bellows Cannister (Adamantine Bellows Cannister)Bolt (Adamantine Bolt)Bullet (Adamantine Bullet)Cannonball (Adamantine Cannonball)Dragon Shot (Adamantine Dragon Shot)Firearm Bullet (Adamantine Firearm Bullet)Flare (Adamantine Flare)Needle (Adamantine Needle)Paper Cartridge Bullet (Adamantine Paper Cartridge Bullet)Shell (Adamantine Shell)Shot (Adamantine Shot)Sling Bullet (Adamantine Sling Bullet)"
"Adamantine Antimatter Rifle","XGE","78","unknown","Weapon (Antimatter Rifle), Futuristic, Martial Weapon, Ranged Weapon, Firearm","","6d8 Necrotic","ammunition (120/360 ft.), reload (2 shots), two‑handed","","10 lb.","","Whenever you hit an object with this weapon, the hit is a critical hit. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Adamantine Arbalest","XGE","78","unknown","Weapon (Arbalest), Advanced Weapon, Ranged Weapon","","2d6 Piercing","Ammunition (Range 80/300 ft.; Bolt), Heavy, Loading, Two‑Handed","Mastery: Strong-Draw","20 lb.","1,250 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Strong-Draw. A weapon with the Strong-Draw quality requires great strength to use. You have Disadvantage on attack rolls with a Strong-Draw weapon unless your Strength is 13 or higher. You add both your Strength and Dexterity modifiers to damage with a Strong-Draw weapon."
"Adamantine Arrow","XGE","78","unknown","Ammunition (Arrow)","","","","","0.8 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Adamantine Automatic Pistol","XGE","78","unknown","Weapon (Automatic Pistol), Modern, Martial Weapon, Ranged Weapon, Firearm","","2d6 Piercing","ammunition (50/150 ft.), reload (15 shots)","","3 lb.","","Whenever you hit an object with this weapon, the hit is a critical hit. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Adamantine Automatic Rifle","XGE","78","unknown","Weapon (Automatic Rifle), Modern, Martial Weapon, Ranged Weapon, Firearm","","2d8 Piercing","ammunition (80/240 ft.), burst fire, reload (30 shots), two‑handed","","8 lb.","","Whenever you hit an object with this weapon, the hit is a critical hit. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Burst Fire. A weapon that has the burst fire property can make a single-target attack, or it can spray a 10-foot-cube area within normal range with shots. Each creature in the area must succeed on a DC 15 Dexterity saving throw or take the weapon's normal damage. This action uses ten pieces of ammunition. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Adamantine Axe","XGE","78","unknown","Weapon (Axe), Simple Weapon, Melee Weapon","","1d6 Slashing","versatile (1d8)","","3 lb.","500 G, 5 S","The base item can be found in The Lord of the Rings Roleplaying, page 73.Whenever you hit an object with this weapon, the hit is a critical hit. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Adamantine Bar","WDH","90","none","Trade Good","","","","","10 lb.","1,000 GP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Adamantine Battle Axe","XGE","78","unknown","Weapon (Battle Axe), Martial Weapon, Melee Weapon","","1d8 Slashing","versatile (1d10)","","4 lb.","501 G","The base item can be found in The Lord of the Rings Roleplaying, page 73.Whenever you hit an object with this weapon, the hit is a critical hit. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Adamantine Battleaxe","XGE","78","unknown","Weapon (Battleaxe), Martial Weapon, Melee Weapon","","1d8 Slashing","versatile (1d10)","","4 lb.","510 GP","Whenever you hit an object with this weapon, the hit is a critical hit. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Adamantine Bellows Cannister","XGE","78","unknown","Ammunition (Bellows Cannister)","","","","","⅕ lb.","","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object using this ammunition, the hit is a critical hit."
